ticker,spot,type,dte,strike,lastPrice,bid,ask,midPrice,volume,impliedVolatility,inTheMoney,dividendRate,dividendYield
SPY,751.280029296875,put,0,500.0,0.01,0.0,0.01,0.005,24.0,2.2500043749999996,False,7.5734,0.010081
SPY,751.280029296875,put,0,510.0,0.01,0.0,0.01,0.005,,2.1250046874999997,False,7.5734,0.010081
SPY,751.280029296875,put,0,530.0,0.01,0.0,0.01,0.005,,1.9375003125,False,7.5734,0.010081
SPY,751.280029296875,put,0,535.0,0.01,0.0,0.01,0.005,1.0,1.875000625,False,7.5734,0.010081
SPY,751.280029296875,put,0,545.0,0.02,0.0,0.01,0.005,,1.8125009374999999,False,7.5734,0.010081
SPY,751.280029296875,put,0,550.0,0.02,0.0,0.01,0.005,,1.75000125,False,7.5734,0.010081
SPY,751.280029296875,put,0,555.0,0.05,0.0,0.01,0.005,2.0,1.6875015625,False,7.5734,0.010081
SPY,751.280029296875,put,0,560.0,0.05,0.0,0.01,0.005,10.0,1.65625171875,False,7.5734,0.010081
SPY,751.280029296875,put,0,565.0,0.05,0.0,0.01,0.005,15.0,1.625001875,False,7.5734,0.010081
SPY,751.280029296875,put,0,570.0,0.02,0.0,0.01,0.005,40.0,1.5625021874999998,False,7.5734,0.010081
SPY,751.280029296875,put,0,575.0,0.04,0.0,0.01,0.005,5.0,1.5000025,False,7.5734,0.010081
SPY,751.280029296875,put,0,580.0,0.01,0.0,0.01,0.005,,1.46875265625,False,7.5734,0.010081
SPY,751.280029296875,put,0,585.0,0.02,0.0,0.01,0.005,,1.4375028125,False,7.5734,0.010081
SPY,751.280029296875,put,0,590.0,0.01,0.0,0.01,0.005,,1.3750031249999999,False,7.5734,0.010081
SPY,751.280029296875,put,0,595.0,0.01,0.0,0.01,0.005,2.0,1.3125034374999998,False,7.5734,0.010081
SPY,751.280029296875,call,0,600.0,147.51,150.37,153.17,151.77,1.0,2.0615282836914064,True,7.5734,0.010081
SPY,751.280029296875,put,0,600.0,0.01,0.0,0.01,0.005,200.0,1.2812535937499998,False,7.5734,0.010081
SPY,751.280029296875,put,0,605.0,0.01,0.0,0.01,0.005,145.0,1.2500037499999999,False,7.5734,0.010081
SPY,751.280029296875,put,0,610.0,0.01,0.0,0.01,0.005,1.0,1.1875040625,False,7.5734,0.010081
SPY,751.280029296875,put,0,620.0,0.02,0.0,0.01,0.005,20.0,1.125004375,False,7.5734,0.010081
SPY,751.280029296875,call,0,625.0,123.75,125.38,128.17,126.775,30.0,1.736329443359375,True,7.5734,0.010081
SPY,751.280029296875,put,0,625.0,0.01,0.0,0.01,0.005,20.0,1.0625046875000002,False,7.5734,0.010081
SPY,751.280029296875,put,0,630.0,0.02,0.0,0.01,0.005,26.0,1.0312548437500002,False,7.5734,0.010081
SPY,751.280029296875,put,0,635.0,0.01,0.0,0.01,0.005,67.0,0.9687503125,False,7.5734,0.010081
SPY,751.280029296875,put,0,640.0,0.01,0.0,0.01,0.005,113.0,0.937500625,False,7.5734,0.010081
SPY,751.280029296875,put,0,645.0,0.02,0.0,0.01,0.005,14.0,0.9062509375,False,7.5734,0.010081
SPY,751.280029296875,call,0,650.0,98.48,100.39,103.18,101.785,3.0,1.419924775390625,True,7.5734,0.010081
SPY,751.280029296875,put,0,650.0,0.01,0.0,0.01,0.005,19.0,0.8437515624999999,False,7.5734,0.010081
SPY,751.280029296875,put,0,655.0,0.01,0.0,0.01,0.005,15.0,0.8125018749999999,False,7.5734,0.010081
SPY,751.280029296875,put,0,660.0,0.03,0.0,0.01,0.005,10.0,0.7656273437500001,False,7.5734,0.010081
SPY,751.280029296875,call,0,665.0,85.37,85.41,88.17,86.79,4.0,1.2299843188476562,True,7.5734,0.010081
SPY,751.280029296875,put,0,665.0,0.03,0.0,0.01,0.005,60.0,0.7187528125,False,7.5734,0.010081
SPY,751.280029296875,call,0,670.0,82.03,80.38,83.17,81.775,3.0,1.16016044921875,True,7.5734,0.010081
SPY,751.280029296875,put,0,670.0,0.01,0.0,0.01,0.005,1.0,0.6875031250000001,False,7.5734,0.010081
SPY,751.280029296875,call,0,675.0,75.38,75.38,78.17,76.775,5.0,1.0966842041015625,True,7.5734,0.010081
SPY,751.280029296875,put,0,675.0,0.01,0.0,0.01,0.005,240.0,0.64062859375,False,7.5734,0.010081
SPY,751.280029296875,call,0,680.0,70.38,70.4,73.18,71.79,13.0,1.0390673046875003,True,7.5734,0.010081
SPY,751.280029296875,put,0,680.0,0.01,0.0,0.01,0.005,1496.0,0.6093789062500001,False,7.5734,0.010081
SPY,751.280029296875,call,0,685.0,65.0,65.38,68.18,66.78,3.0,0.971679970703125,True,7.5734,0.010081
SPY,751.280029296875,put,0,685.0,0.01,0.0,0.01,0.005,2599.0,0.5625043750000001,False,7.5734,0.010081
SPY,751.280029296875,call,0,690.0,61.91,60.38,63.18,61.78,19.0,0.9077157666015624,True,7.5734,0.010081
SPY,751.280029296875,put,0,690.0,0.01,0.0,0.01,0.005,1276.0,0.51562984375,False,7.5734,0.010081
SPY,751.280029296875,put,0,695.0,0.01,0.0,0.01,0.005,537.0,0.507817421875,False,7.5734,0.010081
SPY,751.280029296875,call,0,700.0,50.44,50.38,53.18,51.78,112.0,0.7797873583984375,True,7.5734,0.010081
SPY,751.280029296875,put,0,700.0,0.01,0.0,0.01,0.005,121.0,0.4687553125,False,7.5734,0.010081
SPY,751.280029296875,put,0,701.0,0.01,0.0,0.01,0.005,663.0,0.46094289062500005,False,7.5734,0.010081
SPY,751.280029296875,put,0,702.0,0.01,0.0,0.01,0.005,1358.0,0.45313046875,False,7.5734,0.010081
SPY,751.280029296875,put,0,703.0,0.01,0.0,0.01,0.005,721.0,0.445318046875,False,7.5734,0.010081
SPY,751.280029296875,put,0,704.0,0.01,0.0,0.01,0.005,504.0,0.42969320312500003,False,7.5734,0.010081
SPY,751.280029296875,call,0,705.0,45.15,45.39,48.19,46.79,6.0,0.717776259765625,True,7.5734,0.010081
SPY,751.280029296875,put,0,705.0,0.01,0.0,0.01,0.005,1151.0,0.42188078125,False,7.5734,0.010081
SPY,751.280029296875,call,0,706.0,44.41,44.39,47.19,45.79,4.0,0.7050810742187501,True,7.5734,0.010081
SPY,751.280029296875,put,0,706.0,0.01,0.0,0.01,0.005,2011.0,0.414068359375,False,7.5734,0.010081
SPY,751.280029296875,call,0,707.0,43.4,43.39,46.18,44.785,4.0,0.6904327832031252,True,7.5734,0.010081
SPY,751.280029296875,put,0,707.0,0.01,0.0,0.01,0.005,901.0,0.4062559375,False,7.5734,0.010081
SPY,751.280029296875,call,0,708.0,42.4,42.39,45.18,43.785,4.0,0.6777375976562501,True,7.5734,0.010081
SPY,751.280029296875,put,0,708.0,0.03,0.0,0.01,0.005,1.0,0.398443515625,False,7.5734,0.010081
SPY,751.280029296875,put,0,709.0,0.02,0.0,0.01,0.005,81.0,0.39063109375,False,7.5734,0.010081
SPY,751.280029296875,call,0,710.0,41.27,40.41,43.18,41.795,63.0,0.6538120556640626,True,7.5734,0.010081
SPY,751.280029296875,put,0,710.0,0.02,0.0,0.01,0.005,273.0,0.38281867187499996,False,7.5734,0.010081
SPY,751.280029296875,put,0,711.0,0.02,0.0,0.01,0.005,98.0,0.37500625,False,7.5734,0.010081
SPY,751.280029296875,call,0,712.0,38.39,38.39,41.19,39.79,4.0,0.6264685791015626,True,7.5734,0.010081
SPY,751.280029296875,put,0,712.0,0.01,0.0,0.01,0.005,12.0,0.367193828125,False,7.5734,0.010081
SPY,751.280029296875,call,0,713.0,37.39,37.39,40.19,38.79,4.0,0.6132851171875001,True,7.5734,0.010081
SPY,751.280029296875,put,0,713.0,0.02,0.0,0.01,0.005,197.0,0.35547519531249994,False,7.5734,0.010081
SPY,751.280029296875,call,0,714.0,35.34,36.39,39.19,37.79,2.0,0.6001016552734376,True,7.5734,0.010081
SPY,751.280029296875,put,0,714.0,0.02,0.0,0.01,0.005,139.0,0.3437565625,False,7.5734,0.010081
SPY,751.280029296875,call,0,715.0,35.4,35.39,38.19,36.79,54.0,0.586918193359375,True,7.5734,0.010081
SPY,751.280029296875,put,0,715.0,0.01,0.0,0.01,0.005,1066.0,0.335944140625,False,7.5734,0.010081
SPY,751.280029296875,call,0,716.0,34.35,34.39,37.2,35.795,4.0,0.5747112841796875,True,7.5734,0.010081
SPY,751.280029296875,put,0,716.0,0.01,0.0,0.01,0.005,3584.0,0.32813171874999997,False,7.5734,0.010081
SPY,751.280029296875,put,0,717.0,0.01,0.0,0.01,0.005,5347.0,0.32031929687499994,False,7.5734,0.010081
SPY,751.280029296875,call,0,718.0,32.35,32.41,35.2,33.805,4.0,0.5502974658203126,True,7.5734,0.010081
SPY,751.280029296875,put,0,718.0,0.01,0.0,0.01,0.005,2593.0,0.31250687499999996,False,7.5734,0.010081
SPY,751.280029296875,put,0,719.0,0.01,0.01,0.02,0.015,1073.0,0.32617861328125,False,7.5734,0.010081
SPY,751.280029296875,call,0,720.0,31.62,30.41,33.2,31.805,9.0,0.5236864038085938,True,7.5734,0.010081
SPY,751.280029296875,put,0,720.0,0.01,0.01,0.02,0.015,390.0,0.31641308593749995,False,7.5734,0.010081
SPY,751.280029296875,call,0,721.0,28.28,29.4,32.2,30.8,3.0,0.5092822509765625,True,7.5734,0.010081
SPY,751.280029296875,put,0,721.0,0.01,0.01,0.02,0.015,273.0,0.3086006640625,False,7.5734,0.010081
SPY,751.280029296875,call,0,722.0,28.43,28.4,31.2,29.8,13.0,0.7014190014648438,True,7.5734,0.010081
SPY,751.280029296875,put,0,722.0,0.01,0.01,0.02,0.015,509.0,0.29688203124999996,False,7.5734,0.010081
SPY,751.280029296875,call,0,723.0,27.41,27.4,30.2,28.8,4.0,0.684573466796875,True,7.5734,0.010081
SPY,751.280029296875,put,0,723.0,0.01,0.01,0.02,0.015,384.0,0.2890696093749999,False,7.5734,0.010081
SPY,751.280029296875,call,0,724.0,26.31,26.4,29.19,27.795,2.0,0.6666293103027345,True,7.5734,0.010081
SPY,751.280029296875,put,0,724.0,0.01,0.01,0.02,0.015,2527.0,0.28125718749999995,False,7.5734,0.010081
SPY,751.280029296875,call,0,725.0,26.34,25.4,28.19,26.795,7.0,0.6496617065429688,True,7.5734,0.010081
SPY,751.280029296875,put,0,725.0,0.02,0.01,0.02,0.015,6103.0,0.2695385546875,False,7.5734,0.010081
SPY,751.280029296875,call,0,726.0,25.16,24.4,27.19,25.795,6.0,0.6325720336914062,True,7.5734,0.010081
SPY,751.280029296875,put,0,726.0,0.01,0.01,0.02,0.015,7155.0,0.2617261328125,False,7.5734,0.010081
SPY,751.280029296875,call,0,727.0,24.69,23.49,25.72,24.605,6.0,0.561527822265625,True,7.5734,0.010081
